Code	Name UZ	Name RU	Номер формы 	
docum-0002-00021	029-Muolaja xonasida qon namunalarini olishni qayd etish jurnali (takroriy)	029-Журнал регистрации забора образцов крови в процедурном кабинете (дубликат)	029*	
docum-0002-00022	031-Fizioterapiya hamshirasining kundalik qabul jurnali	031-Ежедневный журнал приема физиотерапевтической медсестры	031*	
docum-0002-00023	031-Fizioterapiya hamshirasining kundalik qabul jurnali (takroriy)	031-Ежедневный журнал приема физиотерапевтической медсестры (дубликат)	031*	
docum-0002-00024	032-Tibbiy jihoz va asbob-uskunalarni sterilizatsiya boʻlimlariga topshirish va zararsizlantirishni qayd etish jurnali	032-Журнал передачи медицинского оборудования и инструментов в стерилизационные отделения и регистрации дезинфекции	032-Tibbiy jihoz va asbob*	
docum-0002-00025	032-Tibbiy jihoz va asbob uskunalarni zararsizlantirishni qayd etish va markaziy sterilizatsiya boʻlimlariga topshirish jurnali	032-Журнал регистрации дезинфекции медицинского оборудования и инструментов и их передачи в центральные стерилизационные отделения	032*	
docum-0002-00026	033-Asbob-uskunalarni qabul qilish va zararsizlantirish jurnali	033-Журнал приема и дезинфекции инструментов и оборудования	033-Asbob*	
docum-0002-00027	033-Asbob-uskunalarni qabul qilish va zararsizlantirish jurnali (takroriy)	033-Журнал приема и дезинфекции инструментов и оборудования (дубликат)	033-Asbob*	
docum-0002-00028	034-Qon tahlili natijalarini qayd qilish jurnali	034-Журнал регистрации результатов анализа крови	034*	
docum-0002-00029	034-Qon tahlili natijalarini qayd qilish jurnali (takroriy)	034-Журнал регистрации результатов анализа крови (дубликат)	034*	
docum-0002-00030	035-Shifokorlik maslahat komissiyasining xulosalarini yozish jurnali	035-Журнал записи заключений врачебно-консультативной комиссии (ВКК)	035*	
docum-0002-00031	036-Mehnatga layoqatsizlik varaqalarini qaydlash jurnali	036-Журнал регистрации листков нетрудоспособности	036*	
docum-0002-00032	036-Mehnatga layoqatsizlik varaqalarini qaydlash jurnali (takroriy)	036-Журнал регистрации листков нетрудоспособности (дубликат)	036*	
docum-0002-00033	038-Peshob, koprologiya va surtma tahlilini qayd qilish jurnali	038-Журнал регистрации анализов мочи, кала (копрология) и мазков	038*	
docum-0002-00034	038-Peshob, koprologiya va surtma tahlilini qayd qilish jurnali (takroriy)	038-Журнал регистрации анализов мочи, кала (копрология) и мазков (дубликат)	038*	
docum-0002-00035	051-Oila hamshirasining kundalik faoliyat jurnali	051-Журнал ежедневной деятельности семейной медсестры	051*	
docum-0002-00036	059-1-Muolajalarni qayd etish jurnali	059-1-Журнал регистрации процедур	059-1*	
docum-0002-00037	059-Katta hamshira yoki laborantkaning budjet hisobiga olgan dori vosita, diagnostikum, reaktiv va tibbiy buyumlarni miqdoriy hisobga olish jurnali	059-Журнал количественного учета лекарственных средств, диагностикумов, реактивов и медицинских изделий, полученных старшей медсестрой или лаборантом за счет бюджета	059*	
docum-0002-00038	059-Katta hamshira yoki laborantkaning budjet hisobiga olgan dori vosita, diagnostikum, reaktiv va tibbiy buyumlarni miqdoriy hisobga olish jurnali (takroriy)	059-Журнал количественного учета лекарственных средств, диагностикумов, реактивов и медицинских изделий, полученных старшей медсестрой или лаборантом за счет бюджета (дубликат)	059*	
docum-0002-00039	060-Yuqumli kasalliklarni qayd etish jurnali	060-Журнал регистрации инфекционных заболеваний	060*	
docum-0002-00040	064-Emlashni qayd etish jurnali	064-Журнал регистрации прививок	064*	
docum-0002-00041	067-Dnevnik kuzatuv (jurnali)	067-Дневник/Журнал наблюдения	067*	
docum-0002-00042	068-Tez tibbiy yordam stansiyasi va sanitar aviatsiyasi boʻlimlarida favqulodda vaziyatlarni hisobga olish jurnali	068-Журнал учета чрезвычайных ситуаций на станциях скорой медицинской помощи и в отделениях санитарной авиации	068*	
docum-0002-00043	070-Sanitar aviatsiyasi avtoulovlari faoliyatini roʻyxatga olish jurnali	070-Журнал регистрации деятельности автотранспорта санитарной авиации	070*	
docum-0002-00044	071-Sanitar aviatsiyasiga chaqiriqlarni qayd etish jurnali	071-Журнал регистрации вызовов санитарной авиации	071*	
docum-0002-00045	077-Tanatologiya boʻlimida murdalarni roʻyxatga olish jurnali	077-Журнал регистрации трупов в танатологическом отделении	077*	
docum-0002-00046	078-Sud-tibbiy ambulatoriyada shaxslarni roʻyxatga olish jurnali	078-Журнал регистрации лиц в судебно-медицинской амбулатории	078-Sud*	
docum-0002-00047	079-Qayta, komission, kompleks va murakkab (sud-tibbiy ekspertizalarni qayd etish jurnali)	079-Журнал учета повторных, комиссионных, комплексных и сложных (судебно-медицинских экспертиз)	079-Qayta, komission, kompleks va murakkab (sud*	
docum-0002-00048	080-Sud-biologik boʻlimda ashyoviy dalillarni va ularga (tegishli hujjatlarni qayd etish jurnali)	080-Журнал регистрации вещественных доказательств и относящихся к ним документов в судебно-биологическом отделении	080-Sud*	
docum-0002-00049	081-Sud-biologik boʻlimda murda qoni, surtma va tiqimlarni (qayd etish jurnali)	081-Журнал регистрации трупной крови, мазков и срезов в судебно-биологическом отделении	081-Sud*	
docum-0002-00050	082-Sud-gistologik boʻlinmada material va hujjatlarni roʻyxatga olish jurnali	082-Журнал регистрации материала и документов в судебно-гистологическом отделении	082-Sud*	
docum-0002-00051	085-Sud-kimyo boʻlimida ashyoviy dalillar va (tegishli hujjatlarni qayd etish jurnali)	085-Журнал регистрации вещественных доказательств в судебно-химическом отделении	085-Sud*	
docum-0002-00052	087-Sud-kimyo boʻlimida tirik shaxslardan narkologik tekshiruvlarni (qayd etish jurnali)	087-Журнал регистрации наркологических исследований живых лиц в судебно-химическом отделении	087-Sud*	
docum-0002-00053	088-1-Ma'lumotlarni yigʻish jurnali	088-1-Журнал сбора данных	088-1*	
docum-0002-00054	088-Fuqarolar murojaatlarini qayd etish jurnali	088-Журнал регистрации обращений граждан	088*	
docum-0002-00055	092-Tibbiy kriminalistika boʻlimida ashyoviy dalillar va ularga tegishli hujjatlarni roʻyxatga olish jurnali	092-Журнал регистрации вещественных доказательств и относящихся к ним документов в отделении медицинской криминалистики	092*	
docum-0002-00056	102-Chaqaloqlar boʻlimi (xona) jurnali	102-Журнал отделения (палаты) новорожденных	102*	
docum-0002-00057	106-2-Perinatal oʻlim guvohnomasini qayd etish jurnali	106-2-Журнал регистрации свидетельств о перинатальной смерти	106-2*	
docum-0002-00058	106-Oʻlim guvohnomasini qayd etish jurnali	106-Журнал регистрации свидетельств о смерти	106*	
docum-0002-00059	106-Oʻlim guvohnomasini qayd etish jurnali (takroriy)	106-Журнал регистрации свидетельств о смерти (дубликат)	106*	
docum-0002-00060	120-Qon topshirgan donorga beriladigan ma'lumotnomalarni qayd etish jurnali	120-Регистрация справок, выданных донорам крови	120*	
docum-0002-00061	121-Donorlar boʻlimiga murojaat qilgan begʻaraz donorlarni qayd etish jurnali	121-Регистрация безвозмездных доноров, обратившихся в донорский отдел	121*	
docum-0002-00062	123-Donorlardan plazma va sitaferez usuli bilan qon komponentlarini (tayyorlashni qayd etish jurnali)	123-Журнал заготовки компонентов крови от доноров методами плазма- и цитафереза	123*	
docum-0002-00063	125-Komissiya ishtirokida qon olishni qayd etish jurnali	125-Журнал регистрации заготовки крови с участием комиссии	125*	
docum-0002-00064	126-Toʻliq qon tayyorlashni hisobga olish jurnali	126-Журнал учета заготовки цельной крови	126*	
docum-0002-00065	127-ABO tizimidagi standart va rezusga qarshi zardobni tayyorlash uchun (qayd etish jurnali)	127-Журнал приготовления стандартных сывороток системы АВ0 и антирезус	127*	
docum-0002-00066	128-ABO tizimi boʻyicha tayyorlangan standart va rezusga qarshi zardobni (qayd etish jurnali)	128-Журнал учета приготовленных стандартных сывороток системы АВ0 и антирезус	128*	
docum-0002-00067	129-Donorlar qon guruhi va rezus-faktori natijalarini roʻyxatga olish jurnali	129-Журнал регистрации результатов определения группы крови и резус-фактора доноров	129-Donorlar qon guruhi va rezus*	
docum-0002-00068	130-Qonni brutsellyozga serologik tekshirish jurnali	130-Журнал серологического исследования крови на бруцеллез	130*	
docum-0002-00069	131-Konservlangan qon va uning komponentlarini sterillikka tekshirish jurnali	131-Журнал исследования на стерильность консервированной крови и ее компонентов	131*	
docum-0002-00070	132-Yaroqsiz qon komponentlarini yoʻq qilishni qayd etish jurnali	132-Журнал регистрации утилизации непригодных компонентов крови	132*	
docum-0002-00071	133-Begʻaraz donorlardan tayyorlangan komponentlarni hisobga olish jurnali	133-Журнал учета компонентов, приготовленных от безвозмездных доноров	133*	
docum-0002-00072	134-Kriopretsipitat tayyorlashni qayd etish jurnali	134-Журнал приготовления криопреципитата	134*	
docum-0002-00073	135-Plazma tayyorlashni qayd etish jurnali (trombokonsentrat, antistafilokokk plazma)	135-Журнал приготовления плазмы (тромбоконцентрат, антистафилококковая плазма и др.)	135*	
docum-0002-00074	136-Yuvilgan eritrotsitlarni tayyorlashni qayd etish jurnali	136-Журнал приготовления отмытых эритроцитов	136*	
docum-0002-00075	137-Davolash-profilaktika muassasalariga beriladigan tayyor qon mahsulotlarini (qayd etish jurnali)	137-Журнал выдачи готовых препаратов крови лечебно-профилактическим учреждениям	137-Davolash*	
docum-0002-00076	137-Qon komponentlarini qon zahiralarini boshqarish ekspeditsiya boʻlimiga (topshirish jurnali)	137-Журнал передачи компонентов крови в экспедицию отдела запасов крови	137*	
docum-0002-00077	140-Qon preparatlarini ekspeditsiyaga topshirishni (qayd etish jurnali)	140-Журнал сдачи препаратов крови в экспедицию	140*	
docum-0002-00078	141-Qon preparatlari boʻlimiga kirim qilingan plazmalarni qayd etish jurnali	141-Журнал регистрации плазмы, поступившей в отдел препаратов крови	141*	
docum-0002-00079	142-OIVga seropozitiv donorlarni roʻyxatga olish jurnali (IFA va IBL)	142-Журнал регистрации ВИЧ-серопозитивных доноров (ИФА и иммуноблот)	142*	
docum-0002-00080	143-Zahm, HCV, HBsAg va OIVga tekshirishlarni qayd etish jurnali	143-Журнал регистрации исследований на сифилис, HCV, HBsAg и ВИЧ	143*	
docum-0002-00081	144-Donorlarning klinik va biokimik tahlillarini qayd etish jurnali	144-Журнал регистрации клинических и биохимических анализов доноров	144*	
docum-0002-00082	145-Davlat sanitariya nazoratiga olingan obyektlarni roʻyxatga olish jurnali	145-Журнал регистрации объектов, взятых на государственный санитарный надзор	145*	
docum-0002-00083	146-Qurilish uchun ajratilgan yer-maydoni boʻyicha jurnal	146-Журнал по земельным участкам, выделенным под строительство	146-Qurilish uchun ajratilgan yer*	
docum-0002-00084	147-Qurilish uchun ajratilgan yer maydoniga berilgan xulosalarni roʻyxatga olish jurnali	147-Журнал регистрации заключений, выданных на земельные участки, выделенные под строительство	147*	
docum-0002-00085	149-Loyiha boʻyicha berilgan xulosalarni roʻyxatga olish jurnali	149-Журнал регистрации заключений, выданных по проектам	149*	
docum-0002-00086	158-Yuqumli kasallik bilan ogʻrigan bemorlarni evakuatsiya qilishni qayd etish jurnali	158-Журнал регистрации эвакуации больных с инфекционными заболеваниями	158*	
docum-0002-00087	159-Kiyimlar, oʻrindiq anjomlari, oyoq kiyimi va boshqa narsalarni dezkamerada dezinfeksiya (dezinseksiya) qilinishini hisobga olish jurnali	159-Журнал учета дезинфекции (дезинсекции) одежды, постельных принадлежностей, обуви и других вещей в дезкамере	159*	
docum-0002-00088	160-Yuqumli kasalliklar oʻchogʻida oʻtkazilgan dezinfeksiyani hisobga olish jurnali	160-Журнал учета дезинфекции, проведенной в очаге инфекционных заболеваний	160*	
docum-0002-00089	162-Ovqatdan zaharlanish holatlarini roʻyxatga olish jurnali	162-Журнал регистрации случаев пищевых отравлений	162*	
docum-0002-00090	163-Ovqatdan zaharlanganda va kasb kasalligi qayd qilinganda shoshilinch xabarlarni roʻyxatga olish jurnali	163-Журнал регистрации экстренных извещений при пищевых отравлениях и профессиональных заболеваниях	163*	
docum-0002-00091	165-Ajratib olingan brutsellalarning tavsifnomasi qayd etish jurnali	165-Журнал регистрации характеристик выделенных культур бруцелл	165*	
docum-0002-00092	167-Sut va sut mahsulotlarini brutsellyozga serologik tekshirishni qayd etish jurnali	167-Журнал регистрации серологического исследования молока и молочных продуктов на бруцеллез	167*	
